leaf_concept,family,order,resolution_method,taxonomy_source
"Coprosma lucida","Rubiaceae","Gentianales","exact_species","iNaturalist_2018_competition_metadata"
"Cucurbita foetidissima","Cucurbitaceae","Cucurbitales","exact_species","iNaturalist_2018_competition_metadata"
"Mitella diphylla","Saxifragaceae","Saxifragales","exact_species","iNaturalist_2018_competition_metadata"
"Selaginella bigelovii","Selaginellaceae","Selaginellales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Toxicodendron vernix","Anacardiaceae","Sapindales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Rumex obtusifolius","Polygonaceae","Caryophyllales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Ceratophyllum demersum","Ceratophyllaceae","Ceratophyllales","authoritative_crosscheck","POWO_2026"
"Streptopus amplexifolius","Liliaceae","Liliales","authoritative_crosscheck","POWO_2026"
"Portulaca oleracea","Portulacaceae","Caryophyllales","exact_species","iNaturalist_2018_competition_metadata"
"Cynodon dactylon","Poaceae","Poales","exact_species","iNaturalist_2018_competition_metadata"
"Agave lechuguilla","Asparagaceae","Asparagales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Pennantia corymbosa","Pennantiaceae","Apiales","exact_species","iNaturalist_2018_competition_metadata"
"Sapindus saponaria","Sapindaceae","Sapindales","authoritative_crosscheck","POWO_2026"
"Prunus serotina","Rosaceae","Rosales","exact_species","iNaturalist_2018_competition_metadata"
"Chondracanthus exasperatus","Gigartinaceae","Gigartinales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Sambucus racemosa","Adoxaceae","Dipsacales","exact_species","iNaturalist_2018_competition_metadata"
"Polypodium vulgare","Polypodiaceae","Polypodiales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Rhus integrifolia","Anacardiaceae","Sapindales","exact_species","iNaturalist_2018_competition_metadata"
"Woodwardia areolata","Blechnaceae","Polypodiales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Epifagus virginiana","Orobanchaceae","Lamiales","exact_species","iNaturalist_2018_competition_metadata"
"Rubus idaeus","Rosaceae","Rosales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Croton setiger","Euphorbiaceae","Malpighiales","exact_species","iNaturalist_2018_competition_metadata"
"Mammillaria dioica","Cactaceae","Caryophyllales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Opuntia littoralis","Cactaceae","Caryophyllales","exact_species","iNaturalist_2018_competition_metadata"
"Cercis canadensis","Fabaceae","Fabales","exact_species","iNaturalist_2018_competition_metadata"
"Psidium guajava","Myrtaceae","Myrtales","authoritative_crosscheck","POWO_2026"
"Asclepias exaltata","Apocynaceae","Gentianales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Linaria purpurea","Plantaginaceae","Lamiales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Ferocactus wislizeni","Cactaceae","Caryophyllales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Briza minor","Poaceae","Poales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Arbutus menziesii","Ericaceae","Ericales","exact_species","iNaturalist_2018_competition_metadata"
"Corylus americana","Betulaceae","Fagales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Pleopeltis polypodioides","Polypodiaceae","Polypodiales","exact_species","iNaturalist_2018_competition_metadata"
"Myoporum laetum","Scrophulariaceae","Lamiales","exact_species","iNaturalist_2018_competition_metadata"
"Persea americana","Lauraceae","Laurales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Avena fatua","Poaceae","Poales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Blechnum discolor","Blechnaceae","Polypodiales","exact_species","iNaturalist_2018_competition_metadata"
"Physocarpus capitatus","Rosaceae","Rosales","authoritative_crosscheck","POWO_2026"
"Ungnadia speciosa","Sapindaceae","Sapindales","authoritative_crosscheck","NCBI_Taxonomy_2026"
"Cercocarpus betuloides","Rosaceae","Rosales","exact_species","iNaturalist_2018_competition_metadata"
"Arisaema dracontium","Araceae","Alismatales","exact_species","iNaturalist_2018_competition_metadata"
