leaf_concept,official_path,s3_groups,s16_groups
"badlands","/b/badlands","outdoor_natural","mountains_hills_desert_sky"
"bamboo forest","/b/bamboo_forest","outdoor_natural","forest_field_jungle"
"canal (natural)","/c/canal/natural","outdoor_natural","water_ice_snow"
"canal (urban)","/c/canal/urban","outdoor_man_made","transportation_outdoor"
"corn field","/c/corn_field","outdoor_natural","forest_field_jungle"
"creek","/c/creek","outdoor_natural","water_ice_snow"
"crevasse","/c/crevasse","outdoor_natural","water_ice_snow"
"desert (sand)","/d/desert/sand","outdoor_natural","mountains_hills_desert_sky"
"desert (vegetation)","/d/desert/vegetation","outdoor_natural","mountains_hills_desert_sky"
"desert road","/d/desert_road","outdoor_man_made","transportation_outdoor"
"field (cultivated)","/f/field/cultivated","outdoor_natural|outdoor_man_made","forest_field_jungle|man_made_elements|houses_cabins_gardens_farms"
"field (wild)","/f/field/wild","outdoor_natural","forest_field_jungle"
"field road","/f/field_road","outdoor_man_made","transportation_outdoor"
"forest (broadleaf)","/f/forest/broadleaf","outdoor_natural","forest_field_jungle"
"forest path","/f/forest_path","outdoor_natural","forest_field_jungle"
"forest road","/f/forest_road","outdoor_natural|outdoor_man_made","forest_field_jungle|man_made_elements|transportation_outdoor|sports_fields_parks_leisure"
"formal garden","/f/formal_garden","outdoor_natural|outdoor_man_made","forest_field_jungle|man_made_elements|houses_cabins_gardens_farms"
"glacier","/g/glacier","outdoor_natural","water_ice_snow"
"grotto","/g/grotto","outdoor_natural","water_ice_snow|mountains_hills_desert_sky"
"hayfield","/h/hayfield","outdoor_natural|outdoor_man_made","forest_field_jungle|man_made_elements|houses_cabins_gardens_farms"
"ice floe","/i/ice_floe","outdoor_natural","water_ice_snow"
"ice shelf","/i/ice_shelf","outdoor_natural","water_ice_snow"
"iceberg","/i/iceberg","outdoor_natural","water_ice_snow"
"igloo","/i/igloo","outdoor_natural|outdoor_man_made","water_ice_snow|man_made_elements|sports_fields_parks_leisure"
"islet","/i/islet","outdoor_natural","water_ice_snow"
"japanese garden","/j/japanese_garden","outdoor_man_made","houses_cabins_gardens_farms"
"lagoon","/l/lagoon","outdoor_natural","water_ice_snow"
"lawn","/l/lawn","outdoor_man_made","sports_fields_parks_leisure"
"marsh","/m/marsh","outdoor_natural","water_ice_snow|forest_field_jungle"
"ocean","/o/ocean","outdoor_natural","water_ice_snow"
"orchard","/o/orchard","outdoor_natural","forest_field_jungle"
"pond","/p/pond","outdoor_natural","water_ice_snow"
"rainforest","/r/rainforest","outdoor_natural","forest_field_jungle"
"rice paddy","/r/rice_paddy","outdoor_natural|outdoor_man_made","forest_field_jungle|man_made_elements|houses_cabins_gardens_farms"
"river","/r/river","outdoor_natural","water_ice_snow"
"rock arch","/r/rock_arch","outdoor_natural","mountains_hills_desert_sky"
"ski slope","/s/ski_slope","outdoor_natural|outdoor_man_made","water_ice_snow|man_made_elements|sports_fields_parks_leisure"
"sky","/s/sky","outdoor_natural","mountains_hills_desert_sky"
"snowfield","/s/snowfield","outdoor_natural","water_ice_snow"
"swamp","/s/swamp","outdoor_natural","water_ice_snow|forest_field_jungle"
"swimming hole","/s/swimming_hole","outdoor_natural","water_ice_snow"
"topiary garden","/t/topiary_garden","outdoor_natural|outdoor_man_made","forest_field_jungle|man_made_elements|houses_cabins_gardens_farms"
"tree farm","/t/tree_farm","outdoor_natural","forest_field_jungle"
"trench","/t/trench","outdoor_natural|outdoor_man_made","man_made_elements|industrial_construction"
"tundra","/t/tundra","outdoor_natural","mountains_hills_desert_sky"
"underwater (ocean deep)","/u/underwater/ocean_deep","outdoor_natural","water_ice_snow"
"vegetable garden","/v/vegetable_garden","outdoor_natural|outdoor_man_made","forest_field_jungle|man_made_elements|houses_cabins_gardens_farms"
"waterfall","/w/waterfall","outdoor_natural","water_ice_snow"
"wave","/w/wave","outdoor_natural","water_ice_snow"
"wheat field","/w/wheat_field","outdoor_natural","forest_field_jungle"
