leaf_concept,s3_groups,basic_groups
"badlands","outdoor_natural","mountains, hills, desert, sky"
"bamboo forest","outdoor_natural","forest, field, jungle"
"bayou","outdoor_natural","water, ice, snow"
"botanical garden","outdoor_natural","forest, field, jungle"
"canal natural","outdoor_natural","water, ice, snow"
"canal urban","outdoor_man_made","transportation (roads, parking, bridges, boats, airports, etc.)"
"catacomb","indoor","cultural (art, education, religion, etc.)"
"cavern indoor","outdoor_natural","mountains, hills, desert, sky"
"corn field","outdoor_natural","forest, field, jungle"
"creek","outdoor_natural","water, ice, snow"
"crevasse","outdoor_natural","water, ice, snow"
"desert sand","outdoor_natural","mountains, hills, desert, sky"
"desert vegetation","outdoor_natural","mountains, hills, desert, sky"
"field cultivated","outdoor_natural","forest, field, jungle"
"field wild","outdoor_natural","forest, field, jungle"
"fishpond","outdoor_natural","water, ice, snow"
"forest broadleaf","outdoor_natural","forest, field, jungle"
"forest needleleaf","outdoor_natural","forest, field, jungle"
"forest path","outdoor_natural","forest, field, jungle"
"forest road","outdoor_natural","forest, field, jungle"
"hayfield","outdoor_natural","forest, field, jungle"
"ice floe","outdoor_natural","water, ice, snow"
"ice shelf","outdoor_natural","water, ice, snow"
"iceberg","outdoor_natural","water, ice, snow"
"islet","outdoor_natural","water, ice, snow"
"marsh","outdoor_natural","water, ice, snow"
"ocean","outdoor_natural","water, ice, snow"
"orchard","outdoor_natural","forest, field, jungle"
"pond","outdoor_natural","water, ice, snow"
"rainforest","outdoor_natural","forest, field, jungle"
"rice paddy","outdoor_natural","forest, field, jungle"
"river","outdoor_natural","water, ice, snow"
"rock arch","outdoor_natural","mountains, hills, desert, sky"
"sky","outdoor_natural","mountains, hills, desert, sky"
"snowfield","outdoor_natural","water, ice, snow"
"swamp","outdoor_natural","water, ice, snow"
"tree farm","outdoor_natural","forest, field, jungle"
"trench","outdoor_man_made","industrial and construction"
"vineyard","outdoor_natural","forest, field, jungle"
"waterfall block","outdoor_natural","water, ice, snow"
"waterfall fan","outdoor_natural","water, ice, snow"
"waterfall plunge","outdoor_natural","water, ice, snow"
"wave","outdoor_natural","water, ice, snow"
"wheat field","outdoor_natural","forest, field, jungle"
"herb garden","outdoor_natural","forest, field, jungle"
"putting green","outdoor_natural","forest, field, jungle"
"ski slope","outdoor_natural","water, ice, snow"
"topiary garden","outdoor_natural","forest, field, jungle"
"vegetable garden","outdoor_natural","forest, field, jungle"
"formal garden","outdoor_natural","forest, field, jungle"
