dataset,leaf_concept,text_cluster
inaturalist,Adenocaulon bicolor,cluster_00
inaturalist,Agave lechuguilla,cluster_01
inaturalist,Aptenia cordifolia,cluster_00
inaturalist,Arbutus menziesii,cluster_02
inaturalist,Argemone albiflora,cluster_02
inaturalist,Arisaema dracontium,cluster_01
inaturalist,Arum italicum,cluster_02
inaturalist,Arum maculatum,cluster_02
inaturalist,Asclepias exaltata,cluster_03
inaturalist,Avena fatua,cluster_01
inaturalist,Blechnum discolor,cluster_04
inaturalist,Briza minor,cluster_05
inaturalist,Callirhoe pedata,cluster_01
inaturalist,Calochortus albus,cluster_02
inaturalist,Ceratophyllum demersum,cluster_06
inaturalist,Cercis canadensis,cluster_07
inaturalist,Cercocarpus betuloides,cluster_07
inaturalist,Chimaphila maculata,cluster_02
inaturalist,Chondracanthus exasperatus,cluster_07
inaturalist,Cirsium andersonii,cluster_06
inaturalist,Cirsium scariosum,cluster_06
inaturalist,Clarkia purpurea,cluster_01
inaturalist,Clintonia uniflora,cluster_01
inaturalist,Coprosma lucida,cluster_01
inaturalist,Corylus americana,cluster_03
inaturalist,Crocosmia × crocosmiiflora,cluster_07
inaturalist,Croton setiger,cluster_06
inaturalist,Cucurbita foetidissima,cluster_02
inaturalist,Cupressus macrocarpa,cluster_01
inaturalist,Cuscuta gronovii,cluster_01
inaturalist,Cynodon dactylon,cluster_06
inaturalist,Datura wrightii,cluster_01
inaturalist,Dichelostemma congestum,cluster_02
inaturalist,Diodia virginiana,cluster_05
inaturalist,Echinocactus texensis,cluster_07
inaturalist,Echinocereus triglochidiatus,cluster_07
inaturalist,Epifagus virginiana,cluster_02
inaturalist,Eriogonum fasciculatum,cluster_03
inaturalist,Eryngium yuccifolium,cluster_03
inaturalist,Euphorbia prostrata,cluster_08
inaturalist,Fallugia paradoxa,cluster_03
inaturalist,Ferocactus wislizeni,cluster_07
inaturalist,Geum macrophyllum,cluster_03
inaturalist,Glaucium flavum,cluster_03
inaturalist,Heliopsis helianthoides,cluster_07
inaturalist,Hesperis matronalis,cluster_01
inaturalist,Hibiscus moscheutos,cluster_01
inaturalist,Hirschfeldia incana,cluster_01
inaturalist,Impatiens parviflora,cluster_08
inaturalist,Juniperus californica,cluster_09
inaturalist,Lamium purpureum,cluster_06
inaturalist,Leptopteris hymenophylloides,cluster_08
inaturalist,Lilium martagon,cluster_06
inaturalist,Linaria purpurea,cluster_02
inaturalist,Lobelia siphilitica,cluster_03
inaturalist,Lotus corniculatus,cluster_03
inaturalist,Lupinus stiversii,cluster_01
inaturalist,Mammillaria dioica,cluster_02
inaturalist,Melilotus officinalis,cluster_08
inaturalist,Mitella diphylla,cluster_03
inaturalist,Myoporum laetum,cluster_03
inaturalist,Myrsine australis,cluster_02
inaturalist,Nuttallanthus canadensis,cluster_00
inaturalist,Oenothera rosea,cluster_01
inaturalist,Opuntia littoralis,cluster_01
inaturalist,Orthilia secunda,cluster_09
inaturalist,Osmunda claytoniana,cluster_01
inaturalist,Packera glabella,cluster_01
inaturalist,Pennantia corymbosa,cluster_01
inaturalist,Peritoma arborea,cluster_02
inaturalist,Persea americana,cluster_02
inaturalist,Phlox divaricata laphamii,cluster_01
inaturalist,Phormium tenax,cluster_06
inaturalist,Physocarpus capitatus,cluster_07
inaturalist,Pinus echinata,cluster_01
inaturalist,Pleopeltis polypodioides,cluster_08
inaturalist,Polanisia dodecandra,cluster_01
inaturalist,Polypodium vulgare,cluster_06
inaturalist,Portulaca oleracea,cluster_01
inaturalist,Proboscidea louisianica,cluster_01
inaturalist,Prunus serotina,cluster_01
inaturalist,Psidium guajava,cluster_02
inaturalist,Pyrrhopappus pauciflorus,cluster_08
inaturalist,Ranunculus repens,cluster_08
inaturalist,Raphanus sativus,cluster_09
inaturalist,Rhus integrifolia,cluster_00
inaturalist,Ripogonum scandens,cluster_02
inaturalist,Rubus idaeus,cluster_09
inaturalist,Rubus laciniatus,cluster_09
inaturalist,Rumex obtusifolius,cluster_07
inaturalist,Sambucus racemosa,cluster_01
inaturalist,Sapindus saponaria,cluster_01
inaturalist,Selaginella bigelovii,cluster_01
inaturalist,Sisyrinchium bellum,cluster_03
inaturalist,Sisyrinchium montanum,cluster_03
inaturalist,Solanum rostratum,cluster_00
inaturalist,Sorghastrum nutans,cluster_00
inaturalist,Streptopus amplexifolius,cluster_07
inaturalist,Taraxacum officinale officinale,cluster_08
inaturalist,Toxicodendron diversilobum,cluster_04
inaturalist,Toxicodendron vernix,cluster_04
inaturalist,Typha domingensis,cluster_02
inaturalist,Ulmus crassifolia,cluster_00
inaturalist,Ungnadia speciosa,cluster_01
inaturalist,Uropappus lindleyi,cluster_08
inaturalist,Veronica chamaedrys,cluster_05
inaturalist,Viola adunca,cluster_01
inaturalist,Viola sororia,cluster_01
inaturalist,Woodwardia areolata,cluster_01
inaturalist,Zantedeschia aethiopica,cluster_03
