method,backbone,source,grouping,metric,point_aggregate,point_worst,point_gap,point_worst_group,selection_aware_gap_median,selection_aware_ci_low,selection_aware_ci_high,empirical_p_gap_le_zero,condition_supported
mcm,ViT-B/16,inaturalist,predefined,fpr95,0.3197,0.4864864864864865,0.16678648648648653,Asterales,0.18445090199438335,0.15214499894670322,0.2284530593030338,0.0,True
mcm,ViT-B/16,inaturalist,predefined,auroc,0.94431817,0.8855947142857143,0.05872345571428561,Liliales,0.05842362734329054,0.0409142767809778,0.07748378004601156,0.0,True
mcm,ViT-B/16,inaturalist,minilm_kmeans,fpr95,0.3197,0.484375,0.16467500000000002,cluster_08,0.1639624689058693,0.12588240205494375,0.20403629724737574,0.0,True
mcm,ViT-B/16,inaturalist,minilm_kmeans,auroc,0.94431817,0.906484375,0.03783379499999995,cluster_08,0.037773505177718825,0.028733176458109046,0.04743412195178565,0.0,True
mcm,ViT-B/16,sun,predefined,fpr95,0.3855,0.45191612436731743,0.06641612436731742,"mountains, hills, desert, sky",0.0667061355844202,0.042583765178545306,0.09030177419354836,0.0,True
mcm,ViT-B/16,sun,predefined,auroc,0.9237040559999999,0.9164439450600185,0.007260110939981468,"forest, field, jungle",0.007261531352775352,0.004390449639645003,0.010103728661399266,0.0,True
mcm,ViT-B/16,sun,minilm_kmeans,fpr95,0.3855,0.553030303030303,0.16753030303030297,cluster_03,0.1676002303540871,0.12912756588072127,0.20846796741452983,0.0,True
mcm,ViT-B/16,sun,minilm_kmeans,auroc,0.9237040559999999,0.8662585409252669,0.057445515074733056,cluster_04,0.05747004031584796,0.047337824946693675,0.06794745186995904,0.0,True
neglabel,ViT-B/16,inaturalist,predefined,fpr95,0.0192,0.0365296803652968,0.017329680365296803,Rosales,0.019534720621975536,0.009096599822388635,0.033003936432028015,0.0,True
neglabel,ViT-B/16,inaturalist,predefined,auroc,0.9950432849999999,0.9905159642857143,0.004527320714285632,Liliales,0.004597415755578038,0.0017314598634975064,0.011137407917805557,0.0,True
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,0.0192,0.03827751196172249,0.019077511961722488,cluster_02,0.021577523335106638,0.014386418498208778,0.031179431273834952,0.0,True
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,0.9950432849999999,0.9886048854041012,0.006438399595898758,cluster_07,0.006365490817269115,0.0036598480671943294,0.010584379169467154,0.0,True
neglabel,ViT-B/16,sun,predefined,fpr95,0.2111,0.21171662125340598,0.0006166212534059745,"water, ice, snow",0.0007114527495881845,-0.007107329964490586,0.011202429955109526,0.4468,False
neglabel,ViT-B/16,sun,predefined,auroc,0.9532560520000001,0.9528314750692521,0.000424576930747933,"forest, field, jungle",0.0005065047696988234,-0.0008974649597890792,0.002481302779570559,0.2674,False
neglabel,ViT-B/16,sun,minilm_kmeans,fpr95,0.2111,0.29780564263322884,0.08670564263322883,cluster_06,0.09381631557603112,0.07775879105650317,0.12223457964601765,0.0,True
neglabel,ViT-B/16,sun,minilm_kmeans,auroc,0.9532560520000001,0.9170706494661921,0.036185402533807975,cluster_04,0.036183380182334524,0.028707693471507083,0.044407402925488816,0.0,True
