method,backbone,source,grouping,metric,group,selected_count,selected_fraction
mcm,ViT-B/16,inaturalist,predefined,fpr95,Alismatales,3,0.0006
mcm,ViT-B/16,inaturalist,predefined,fpr95,Asparagales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,fpr95,Asterales,1891,0.3782
mcm,ViT-B/16,inaturalist,predefined,fpr95,Brassicales,1,0.0002
mcm,ViT-B/16,inaturalist,predefined,fpr95,Caryophyllales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,fpr95,Ericales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,fpr95,Fabales,5,0.001
mcm,ViT-B/16,inaturalist,predefined,fpr95,Gentianales,656,0.1312
mcm,ViT-B/16,inaturalist,predefined,fpr95,Lamiales,544,0.1088
mcm,ViT-B/16,inaturalist,predefined,fpr95,Liliales,1898,0.3796
mcm,ViT-B/16,inaturalist,predefined,fpr95,Malpighiales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,fpr95,Osmundales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,fpr95,Poales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,fpr95,Rosales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,fpr95,Sapindales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,fpr95,Solanales,2,0.0004
mcm,ViT-B/16,inaturalist,predefined,auroc,Alismatales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Asparagales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Asterales,10,0.002
mcm,ViT-B/16,inaturalist,predefined,auroc,Brassicales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Caryophyllales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Ericales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Fabales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Gentianales,1,0.0002
mcm,ViT-B/16,inaturalist,predefined,auroc,Lamiales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Liliales,4989,0.9978
mcm,ViT-B/16,inaturalist,predefined,auroc,Malpighiales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Osmundales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Poales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Rosales,0,0.0
mcm,ViT-B/16,inaturalist,predefined,auroc,Sapindales,0,0.0
