method,source,sigma_quartile,n,failures,failure_rate,failure_ci_low,failure_ci_high,sigma_mean,sigma_min,sigma_max
mcm,inaturalist,Q1,2500,504,0.2016,0.18633665877094463,0.21777896734272711,2.8383701629337558e-06,6.361551915536289e-07,3.6017199393201558e-06
mcm,inaturalist,Q2,2500,804,0.3216,0.30357610246414457,0.3401713093946994,4.134581403833183e-06,3.601949252068835e-06,4.6724119827623855e-06
mcm,inaturalist,Q3,2500,942,0.3768,0.3580073046268684,0.39597072867475486,5.2997511869870714e-06,4.672692909688042e-06,6.064252632523688e-06
mcm,inaturalist,Q4,2500,1146,0.4584,0.4389470228708687,0.47798062473747155,7.641714819445589e-06,6.06494108968383e-06,1.4894686661850566e-05
mcm,sun,Q1,2500,579,0.2316,0.21548294338817997,0.24854062916178482,3.031499812914839e-06,5.677123781010344e-07,3.8113013874275495e-06
mcm,sun,Q2,2500,836,0.3344,0.31617306590689953,0.35313506976476283,4.333022365718317e-06,3.811934746750524e-06,4.812550654921232e-06
mcm,sun,Q3,2500,1106,0.4424,0.4230339598110649,0.4619427830312525,5.349188963407852e-06,4.813202052839268e-06,5.959811146857072e-06
mcm,sun,Q4,2500,1535,0.614,0.5947555333630191,0.6328946630948945,7.366382315905468e-06,5.960060518599713e-06,1.638589494457128e-05
neglabel,inaturalist,Q1,2500,231,0.0924,0.08166512618281437,0.10438557490275067,0.026519384896704037,0.0011367365309627,0.0397874574618459
neglabel,inaturalist,Q2,2500,66,0.0264,0.020805040421351964,0.03344817850436838,0.05159637568101559,0.0397927170123329,0.0635681362324226
neglabel,inaturalist,Q3,2500,27,0.0108,0.007433019288849424,0.015668067489998536,0.07590648221666142,0.0635744978923847,0.0891148414759214
neglabel,inaturalist,Q4,2500,15,0.006,0.003639486876172801,0.009876328472868269,0.1145352778235625,0.089151500755242,0.2280283208865638
neglabel,sun,Q1,2500,1335,0.534,0.5144084998060151,0.5534871728217837,0.019384145730683394,8.725095989121243e-05,0.0327361464790407
neglabel,sun,Q2,2500,520,0.208,0.19254381332863382,0.22435217469144705,0.04389718091563152,0.0327443791992774,0.0553879952711764
neglabel,sun,Q3,2500,280,0.112,0.10022829361445693,0.12496226580948627,0.06894356680860181,0.055397550287062,0.0839358537824344
neglabel,sun,Q4,2500,136,0.0544,0.04617360346801647,0.06399369879824404,0.11387019653595452,0.0839390516223098,0.2687897709450059
