method,source,grouping,group,n_images,n_leaf_concepts,eligible_primary,fpr95,sigma_mean,sigma_q75,sigma_q90
mcm,inaturalist,predefined,Alismatales,236,4,True,0.4322033898305085,5.001843996305773e-06,5.951882141178678e-06,7.225880903768972e-06
mcm,inaturalist,predefined,Apiales,160,2,False,0.29375,4.693720888349268e-06,5.772431449867035e-06,6.841849312698179e-06
mcm,inaturalist,predefined,Asparagales,498,6,True,0.3453815261044177,4.343952977984811e-06,5.103318805836763e-06,5.84259892753521e-06
mcm,inaturalist,predefined,Asterales,444,9,True,0.44594594594594594,4.807025422020102e-06,5.5388040308790845e-06,7.355721265992356e-06
mcm,inaturalist,predefined,Brassicales,670,5,True,0.34626865671641793,4.474922372169531e-06,5.369584824925463e-06,6.590955764643834e-06
mcm,inaturalist,predefined,Caryophyllales,995,9,True,0.20603015075376885,4.7369809446700344e-06,5.6896490402865755e-06,7.214252499985668e-06
mcm,inaturalist,predefined,Ceratophyllales,30,1,False,0.26666666666666666,4.534507516873624e-06,5.722621933070874e-06,6.3577248499935976e-06
mcm,inaturalist,predefined,Cucurbitales,122,1,False,0.7295081967213115,4.910550302773857e-06,5.966090491670827e-06,7.281919302255529e-06
mcm,inaturalist,predefined,Dipsacales,170,1,False,0.4235294117647059,5.824554747159397e-06,7.1820978042543355e-06,9.331053815707581e-06
mcm,inaturalist,predefined,Ericales,756,6,True,0.30687830687830686,5.0681675239512655e-06,6.252739774728715e-06,7.969453471310765e-06
mcm,inaturalist,predefined,Fabales,888,4,True,0.4797297297297297,5.190305223010344e-06,6.265991208587716e-06,7.719181242780448e-06
mcm,inaturalist,predefined,Fagales,19,1,False,0.5263157894736842,5.563897717952936e-06,6.740135263268266e-06,8.55072068823472e-06
mcm,inaturalist,predefined,Gentianales,207,3,True,0.5893719806763285,5.138216608416419e-06,6.500311470547757e-06,8.075772503064099e-06
mcm,inaturalist,predefined,Gigartinales,35,1,False,0.8857142857142857,5.818834281650041e-06,6.677520853025275e-06,7.4599691493038396e-06
mcm,inaturalist,predefined,Lamiales,576,7,True,0.2482638888888889,5.458241099745655e-06,6.648076988974215e-06,8.169373372144304e-06
